,Time,Time (s),HR (bpm),Speed (km/h),Altitude (m),Distances (m),Slope
0,00:01:35,0,125.0,3.5,1968,60.8,0.0
1,00:01:36,1,125.0,3.5,1968,61.8,0.0
2,00:01:37,2,124.0,3.5,1968,62.8,0.0
3,00:01:38,3,124.0,3.5,1968,64.0,0.0
4,00:01:39,4,124.0,3.5,1968,65.0,0.0
5,00:01:40,5,124.0,3.5,1968,65.9,0.0
6,00:01:41,6,124.0,3.5,1968,66.9,0.0
7,00:01:42,7,124.0,3.5,1968,67.6,0.0
8,00:01:43,8,124.0,3.5,1968,68.5,0.0
9,00:01:44,9,124.0,3.5,1968,69.5,0.0
10,00:01:45,10,124.0,3.5,1968,70.5,0.0
11,00:01:46,11,124.0,3.5,1968,71.5,0.0
12,00:01:47,12,124.0,3.5,1968,72.6,0.0
13,00:01:48,13,124.0,3.5,1968,73.5,0.0
14,00:01:49,14,124.0,3.6,1969,74.7,0.1030927835051546
15,00:01:50,15,123.0,3.6,1969,75.9,0.1
16,00:01:51,16,123.0,3.6,1969,77.2,0.09708737864077673
17,00:01:52,17,123.0,3.7,1969,78.3,0.09345794392523361
18,00:01:53,18,123.0,3.7,1969,79.4,0.091743119266055
19,00:01:54,19,123.0,3.7,1969,80.5,0.09090909090909091
20,00:01:55,20,123.0,3.8,1969,81.7,0.047846889952153096
21,00:01:56,21,123.0,3.8,1969,82.7,0.047846889952153096
22,00:01:57,22,123.0,3.8,1969,83.9,0.047393364928909935
23,00:01:58,23,123.0,3.8,1969,84.9,0.047846889952153096
24,00:01:59,24,123.0,3.8,1969,85.9,0.047846889952153096
25,00:02:00,25,123.0,3.8,1969,86.9,0.047619047619047616
26,00:02:01,26,124.0,3.7,1969,87.8,0.04784688995215313
27,00:02:02,27,124.0,3.8,1969,88.8,0.04716981132075471
28,00:02:03,28,124.0,3.8,1969,90.1,0.04629629629629631
29,00:02:04,29,124.0,3.8,1969,91.2,0.046082949308755755
30,00:02:05,30,125.0,3.9,1969,92.4,0.03164556962025315
31,00:02:06,31,125.0,3.9,1969,93.6,0.031446540880503145
32,00:02:07,32,125.0,3.9,1969,94.8,0.03125
33,00:02:08,33,125.0,3.9,1969,95.8,0.031446540880503145
34,00:02:09,34,125.0,3.9,1969,97.0,0.03125
35,00:02:10,35,126.0,3.9,1969,98.1,0.031055900621118022
36,00:02:11,36,126.0,3.9,1969,99.1,0.031055900621118022
37,00:02:12,37,126.0,3.9,1969,99.8,0.03105590062111801
38,00:02:13,38,127.0,3.8,1969,100.8,0.030959752321981428
39,00:02:14,39,127.0,3.8,1970,101.9,0.061728395061728385
40,00:02:15,40,127.0,3.8,1970,102.8,0.047619047619047616
41,00:02:16,41,127.0,3.8,1970,103.7,0.04773269689737469
42,00:02:17,42,127.0,3.8,1970,104.8,0.047619047619047616
43,00:02:18,43,127.0,3.8,1970,105.8,0.04784688995215311
44,00:02:19,44,127.0,3.8,1970,107.0,0.047619047619047616
45,00:02:20,45,127.0,3.8,1970,108.0,0.04750593824228029
46,00:02:21,46,127.0,3.8,1970,109.0,0.04750593824228029
47,00:02:22,47,127.0,3.8,1970,110.0,0.04716981132075471
